dataset,episode,classification,bag_duration_s,common_overlap_s,alignment_coverage_50ms,drop_events,estimated_missing,severe_gaps,usable_segments_ge_5s,usable_continuous_s,longest_continuous_s,header_clock_topics,size_bytes,errors,warnings,path
f1-5-201,episode_000108,FRAGMENT_ONLY,79.467750012,79.39922666549683,0.9908561928512053,205,249,1,1,74.47396993637085,74.47396993637085,2,1061855165,,"one or more required streams has a gap >200 ms | 205 dropped-frame events, about 249 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000108
f1-5-201,episode_000109,FRAGMENT_ONLY,71.599800384,71.53327059745789,0.9949261992619927,172,193,1,2,71.31257462501526,48.75063514709473,0,964098596,,"one or more required streams has a gap >200 ms | 172 dropped-frame events, about 193 missing messages",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000109
f1-5-201,episode_000110,FRAGMENT_ONLY,67.188521357,67.11170387268066,0.992133726647001,179,210,1,2,66.89496040344238,47.599347829818726,3,910855068,,"one or more required streams has a gap >200 ms | 179 dropped-frame events, about 210 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000110
f1-5-201,episode_000111,FRAGMENT_ONLY,67.227551802,65.35662817955017,0.9954568399798082,146,168,1,2,65.13412237167358,39.57037115097046,3,893668427,,"one or more required streams has a gap >200 ms | 146 dropped-frame events, about 168 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000111
f1-5-201,episode_000112,READY,67.102053977,64.83265423774719,0.9949109414758269,150,181,0,1,64.83265423774719,64.83265423774719,2,884401967,,"150 dropped-frame events, about 181 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000112
f1-5-201,episode_000113,FRAGMENT_ONLY,62.69575458,62.64020609855652,0.9884088514225501,148,190,1,2,62.35252404212952,34.57512164115906,3,853092118,,"one or more required streams has a gap >200 ms | 148 dropped-frame events, about 190 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000113
f1-5-201,episode_000114,FRAGMENT_ONLY,72.579753366,70.41124701499939,0.9939081537019682,204,232,2,2,69.85503506660461,42.516777753829956,2,958697111,,"one or more required streams has a gap >200 ms | 204 dropped-frame events, about 232 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000114
f1-5-201,episode_000115,FRAGMENT_ONLY,68.925708237,68.85601234436035,0.9904168663152851,123,152,2,3,68.10737156867981,41.2111291885376,3,932872121,,"one or more required streams has a gap >200 ms | 123 dropped-frame events, about 152 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000115
f1-5-201,episode_000116,FRAGMENT_ONLY,82.112052771,82.02632880210876,0.9879324215607401,122,167,4,3,77.78760981559753,42.14874505996704,2,1102499421,,"one or more required streams has a gap >200 ms | 122 dropped-frame events, about 167 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000116
f1-5-201,episode_000117,FRAGMENT_ONLY,74.880594254,74.82387924194336,0.9858906525573192,178,234,4,5,73.777174949646,20.09104871749878,2,1011831501,,"one or more required streams has a gap >200 ms | 178 dropped-frame events, about 234 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000117
f1-5-201,episode_000118,FRAGMENT_ONLY,63.199597793,63.145509004592896,0.9937304075235109,139,163,2,3,62.66754984855652,46.07286238670349,3,857217272,,"one or more required streams has a gap >200 ms | 139 dropped-frame events, about 163 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000118
f1-5-201,episode_000119,FRAGMENT_ONLY,66.05397733,63.339383363723755,0.9921875,126,154,2,3,62.76082420349121,30.647768020629883,3,886841682,,"one or more required streams has a gap >200 ms | 126 dropped-frame events, about 154 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000119
f1-5-201,episode_000120,FRAGMENT_ONLY,60.055988674,57.78373408317566,0.9942889777270132,125,153,1,2,57.49453282356262,42.07569217681885,3,801239880,,"one or more required streams has a gap >200 ms | 125 dropped-frame events, about 153 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000120
